name,region,twitter,bluesky,website
ZecHub,Global,@zechub,,https://zechub.wiki/
Zcash Brazil,Brazil,@zcashbrazil,,
Zcash Nigeria,Nigeria,@ZcashNigeria,,
Zcash Ghana,Ghana,@ZcashGH,,
Zcash East Africa,East Africa,@ZcashEastAfrica,,https://substack.com/@zcasheastafrica
Zcash South Africa,South Africa,@zcash_sa,,https://medium.com/@zcashsouthafrica
Zcash Turkey (Zcash Global Turkish),Turkey,@ZcashTR,,
ZcastEsp,Latin America / Spain,@ZcastEsp,@zcashesp.bsky.social,https://privacidad.me/@zcashesp
Zcash Korea Community,South Korea,@zcashkorea,,https://cafe.naver.com/zcashcommunity
Zec Arabic,MENA,@ZcashArabia,,https://academy.zcasharabia.xyz/
Zcash Ukraine,Ukraine,@Zcash_ua,,
Boston Zcash,United States,BostonZcash,,https://linktr.ee/BostonZcash
ZK AV Club,Global,@ZkAv_Club,,https://zkav.club/
Zcash Global (Discord),Global,,,https://discord.com/invite/zcash
Zcash India,India,@zcashIND,,
Zcash Russia,Russia,@ZcashRussia,,https://pro.zcash.ru/
Club Zcash Querétaro,Mexico,@zcashqro,,
